"DATASET: Aircraft traffic data by main airport [avia_tf_aca]"

"LAST UPDATE: 03.10.18 15:58:05"

"EXTRACTION DATE: 19.10.18 16:57:08"

"SOURCE OF DATA: Eurostat"

"TIME"
"2008"
"2009"
"2010"
"2011"
"2012"
"2013"
"2014"
"2015"
"2016"
"2017"

"REP_AIRP"
"ANTWERPEN/DEURNE airport"
"BRUSSELS airport"
"CHARLEROI/BRUSSELS SOUTH airport"
"LIEGE airport"
"OOSTENDE/BRUGGE airport"
"BURGAS airport"
"SOFIA airport"
"VARNA airport"
"KARLOVY VARY airport"
"OSTRAVA/MOSNOV airport"
"PARDUBICE airport"
"PRAHA/RUZYNE airport"
"BRNO/TURANY airport"
"AERO airport"
"AARHUS airport"
"BILLUND airport"
"KOBENHAVN/KASTRUP airport"
"ESBJERG airport"
"KARUP airport"
"ARHUS/KIRSTINESMINDE airport"
"ODENSE airport"
"KOBENHAVN/ROSKILDE airport"
"BORNHOLM/RONNE airport"
"SONDERBORG airport"
"VOJENS/SKRYDSTRUP airport"
"SKIVE airport"
"THISTED airport"
"VAGAR airport"
"VESTHIMMERLAND airport"
"STAUNING airport"
"VAERSLOSE airport"
"AALBORG airport"
"Unknown airport - DENMARK"
"LEIPZIG-ALTENBURG airport"
"HERINGSDORF airport"
"MAGDEBURG/COCHSTEDT airport"
"BARTH airport"
"MAGDEBURG/CITY airport"
"RUEGEN airport"
"BERLIN-SCHOENEFELD airport"
"DRESDEN airport"
"ERFURT-WEIMAR airport"
"FRANKFURT/MAIN airport"
"MUENSTER/OSNABRUECK airport"
"HAMBURG airport"
"BERLIN/TEMPELHOF airport"
"KOELN/BONN airport"
"DUESSELDORF airport"
"MUENCHEN airport"
"NUERNBERG airport"
"LEIPZIG/HALLE airport"
"SAARBRUECKEN airport"
"STUTTGART airport"
"BERLIN-TEGEL airport"
"HANNOVER airport"
"BREMEN airport"
"FRANKFURT-EGELSBACH airport"
"FRANKFURT-HAHN airport"
"MANNHEIM CITY airport"
"WORMS airport"
"SIEGERLAND airport"
"HAMBURG-FINKENWERDER airport"
"KIEL-HOLTENAU airport"
"LUEBECK-BLANKENSEE airport"
"MEMMINGEN airport"
"BONN-HANGELAR airport"
"ESSEN/MUELHEIM airport"
"MOENCHENGLADBACH airport"
"PADERBORN/LIPPSTADT airport"
"NIEDERRHEIN airport"
"DORTMUND airport"
"AUGSBURG airport"
"LANDSHUT airport"
"OBERPFAFFENHOFEN airport"
"STRAUBING airport"
"FRIEDRICHSHAFEN airport"
"STOELLN/RHINOW airport"
"BAYREUTH airport"
"HOF-PLAUEN airport"
"KOBLENZ-WINNINGEN airport"
"TRIER-FOEHREN airport"
"ZWEIBRUECKEN airport"
"KARLSRUHE/BADEN-BADEN airport"
"BADEN-OOS airport"
"DONAUESCHINGEN-VILLINGEN airport"
"FREIBURG I.BR. airport"
"SINSHEIM airport"
"OFFENBURG airport"
"KONSTANZ airport"
"BRAUNSCHWEIG-WOLFSBURG airport"
"KASSEL-CALDEN airport"
"HANNOVER UIR airport"
"BREMERHAVEN airport"
"LEMWERDER airport"
"EMDEN airport"
"WANGEROOGE airport"
"JUIST airport"
"LANGEOOG airport"
"BORKUM airport"
"NORDEN-NORDDEICH airport"
"NORDERNEY airport"
"HEIDE-BUESUM airport"
"FLENSBURG-SCHAEFERHAUS airport"
"HELGOLAND-DUENE airport"
"ST. PETER-ORDING airport"
"HARLE airport"
"SYLT airport"
"WYK AUF FOEHR airport"
"Other airport - GERMANY"
"HEIDELBERG HEL airport"
"LAAGE airport"
"INGOLSTADT/MANCHING airport"
"GUETERSLOH airport"
"LENNART MERI TALLINN airport"
"CORK airport"
"GALWAY airport"
"DUBLIN airport"
"IRELAND WEST airport"
"KERRY airport"
"SHANNON airport"
"THIRA airport"
"NAXOS airport"
"ALEXANDROUPOLIS/DIMOKRITOS airport"
"ATHINAI airport"
"ATHINAI/ELEFTHERIOS VENIZELOS airport"
"ALMIROS/NEA ANCHIALOS airport"
"CHIOS/OMIROS airport"
"IKARIA/IKAROS airport"
"IOANNINA/KING PYRROS airport"
"IRAKLION/NIKOS KAZANTZAKIS airport"
"KASTORIA/ARISTOTELIS airport"
"KITHIRA/ALEXANDROS ARISTOTELOUS ONASSIS airport"
"KEFALLINIA/ANNA POLLATOU airport"
"KASTELORIZO airport"
"KALAMATA airport"
"KOS/IPPOKRATIS airport"
"KARPATHOS airport"
"KERKIRA/IOANNIS KAPODISTRIAS airport"
"KASSOS airport"
"KAVALA/MEGAS ALEXANDROS airport"
"KALYMNOS airport"
"KOZANI/FILIPPOS airport"
"LEROS airport"
"LIMNOS/IFAISTOS airport"
"MIKONOS airport"
"MILOS airport"
"MITILINI/ODYSSEAS ELYTIS airport"
"NAXOS airport"
"PAROS airport"
"ASTYPALAIA airport"
"PREVEZA/AKTION airport"
"RODOS/DIAGORAS airport"
"ARAXOS airport"
"CHANIA/IOANNIS DASKALOGIANNIS airport"
"SKIATHOS/ALEXANDROS PAPADIAMANDIS airport"
"SAMOS/ARISTARCHOS OF SAMOS airport"
"SYROS/DIMITRIOS VIKELAS airport"
"SANTORINI airport"
"SITIA/VITSENTZOS KORNAROS airport"
"SKIROS airport"
"THESSALONIKI/MAKEDONIA airport"
"VOLOS airport"
"ZAKINTHOS/DIONISIOS SOLOMOS airport"
"FUERTEVENTURA airport"
"HIERRO airport"
"LA PALMA airport"
"GRAN CANARIA airport"
"LANZAROTE airport"
"TENERIFE SUR/REINA SOFIA airport"
"TENERIFE NORTE airport"
"MELILLA airport"
"ALICANTE airport"
"ALMERIA airport"
"ASTURIAS airport"
"CORDOBA airport"
"BILBAO airport"
"BARCELONA/EL PRAT airport"
"BADAJOZ airport"
"A CORUNA airport"
"GIRONA airport"
"GRANADA/FEDERICO GARCIA LORCA GRANADA-JAEN airport"
"IBIZA airport"
"JEREZ airport"
"MURCIA/SAN JAVIER airport"
"LEON airport"
"ADOLFO SUAREZ MADRID-BARAJAS airport"
"MALAGA/COSTA DEL SOL airport"
"MENORCA airport"
"PALMA DE MALLORCA airport"
"PAMPLONA airport"
"REUS airport"
"SALAMANCA airport"
"SAN SEBASTIAN airport"
"SANTIAGO airport"
"VALENCIA airport"
"VALLADOLID airport"
"VITORIA airport"
"VIGO airport"
"SEVE BALLESTEROS-SANTANDER airport"
"ZARAGOZA airport"
"SEVILLA airport"
"DZAOUDZI airport"
"LA REUNION-ROLAND GARROS airport"
"SAINT PIERRE PIERREFONDS airport"
"LE TOUQUET-COTE D'OPALE airport"
"AGEN-LA GARENNE airport"
"BORDEAUX-MERIGNAC airport"
"BERGERAC-ROUMANIERE airport"
"LA ROCHELLE-ILE DE RE airport"
"POITIERS-BIARD airport"
"LIMOGES-BELLEGARDE airport"
"TOULOUSE/BLAGNAC airport"
"PAU-PYRENEES airport"
"TARBES LOURDES PYRENEES airport"
"ANGOULEME-BRIE-CHAMPNIERS airport"
"BRIVE/LA ROCHE airport"
"PERIGEUX-BASSILLAC airport"
"BIARRITZ-PAYS BASQUE airport"
"CASTRES MAZAMET airport"
"RODEZ-AVEYRON airport"
"ROCHEFORT-CHARENTE-MARITIME airport"
"OUESSANT airport"
"DOLE-TAVAUX airport"
"LE PUY-LOUDES airport"
"METZ NANCY-LORRAINE airport"
"ANGERS MARCE airport"
"BASTIA-PORETTA airport"
"CALVI-SAINTE-CATHERINE airport"
"FIGARI-SUD-CORSE airport"
"AJACCIO-NAPOLEON-BONAPARTE airport"
"CHAMBERY-AIX-LES-BAINS airport"
"CLERMONT-FERRAND-AUVERGNE airport"
"COURCHEVEL airport"
"LYON SAINT-EXUPERY airport"
"ANNECY-MEYTHET airport"
"GRENOBLE-ISERE airport"
"AURILLAC airport"
"CHATEAUROUX-DEOLS airport"
"LYON-BRON airport"
"CANNES-MANDELIEU airport"
"SAINT-ETIENNE-LOIRE airport"
"CARCASSONNE-SALVAZA airport"
"MARSEILLE-PROVENCE airport"
"NICE-COTE D AZUR airport"
"PERPIGNAN RIVESALTES airport"
"LE CASTELLET airport"
"MONTPELLIER MEDITERRANEE airport"
"BEZIERS-VIAS airport"
"AVIGNON-CAUMONT airport"
"BEAUVAIS-TILLE airport"
"LE HAVRE-OCTEVILLE airport"
"CHALONS-VATRY airport"
"ROUEN-VALLEE DE SEINE airport"
"TOURS VAL DE LOIRE airport"
"PARIS-CHARLES DE GAULLE airport"
"PARIS-ORLY airport"
"LILLE-LESQUIN airport"
"BREST-BRETAGNE airport"
"CHERBOURG-MAUPERTUS airport"
"DINARD PLEURTUIT SAINT MALO airport"
"DEAUVILLE-NORMANDIE airport"
"LORIENT-LANN-BIHOUE airport"
"CAEN-CARPIQUET airport"
"LE MANS-ARNAGE airport"
"RENNES SAINT JACQUES airport"
"LANNION airport"
"QUIMPER-PLUGUFFAN airport"
"NANTES ATLANTIQUE airport"
"SAINT BRIEUC ARMOR airport"
"SAINT-NAZAIRE-MONTOIR airport"
"BALE-MULHOUSE airport"
"DIJON-LONGVIC airport"
"EPINAL-MIRECOURT airport"
"REIMS/CHAMPAGNE airport"
"STRASBOURG-ENTZHEIM airport"
"CANNES/PALM BEACH airport"
"HYERES-LE PALYVESTRE airport"
"NIMES-GARONS airport"
"LA MOLE airport"
"PARIS airport system"
"STRASBOURG airport System"
"CAYENNE-FELIX-EBOUE airport"
"AIME CESAIRE/MARTINIQUE airport"
"SAINT MARTIN, GRAND CASE, GUADELOUPE airport"
"SAINT BARTHELEMY/FRENCH ANTILLES airport"
"MARIE GALANTE airport"
"POINTE-A-PITRE/LE RAIZET/GUADELOUPE airport"
"LES SAINTES/TERRE DE HAUT/FRENCH ANTILLES airport"
"DUBROVNIK/CILIPI airport"
"PULA airport"
"RIJEKA/KRK airport"
"SPLIT/KASTELA airport"
"ZAGREB/PLESO airport"
"ZADAR/ZEMUNIK airport"
"BARI/PALESE airport"
"FOGGIA/GINO LISA airport"
"TARANTO/GROTTAGLIE airport"
"PESCARA airport"
"BRINDISI/CASALE airport"
"LAMEZIA TERME airport"
"COMISO airport"
"CATANIA/FONTANAROSSA airport"
"LAMPEDUSA airport"
"PANTELLERIA airport"
"PALERMO/PUNTA RAISI airport"
"REGGIO CALABRIA airport"
"TRAPANI/BIRGI airport"
"ALGHERO/FERTILIA airport"
"CAGLIARI/ELMAS airport"
"OLBIA/COSTA SMERALDA airport"
"MILANO/MALPENSA airport"
"BERGAMO/ORIO AL SERIO airport"
"TORINO/CASELLE airport"
"GENOVA/SESTRI airport"
"MILANO/LINATE airport"
"PARMA airport"
"AOSTA airport"
"CUNEO/LEVALDIGI airport"
"BOLZANO airport"
"BOLOGNA/BORGO PANIGALE airport"
"TREVISO/S.ANGELO airport"
"FORLI  airport"
"VERONA/BOSCOMANTICO airport"
"BRESCIA/MONTICHIARI airport"
"TRIESTE/RONCHI DEI LEGIONARI airport"
"RIMINI/MIRAMARE airport"
"VERONA/VILLAFRANCA airport"
"ANCONA/FALCONARA airport"
"VENEZIA/TESSERA airport"
"ROMA/CIAMPINO airport"
"ROMA/FIUMICINO airport"
"NAPOLI/CAPODICHINO airport"
"PISA/S. GIUSTO airport"
"FIRENZE/PERETOLA airport"
"PERUGIA/S. FRANCESCO airport"
"LARNAKA/INTL airport"
"PAFOS/INTL airport"
"RIGA airport"
"KAUNAS INTL airport"
"PALANGA/INTERNATIONAL airport"
"SIAULIAI/INTERNATIONAL airport"
"VILNIUS/INTERNATIONAL airport"
"LUXEMBOURG airport"
"BUDAPEST/LISZT FERENC INTERNATIONAL airport"
"DEBRECEN airport"
"LUQA airport"
"AMSTERDAM/SCHIPHOL airport"
"MAASTRICHT/AACHEN airport"
"EINDHOVEN airport"
"GRONINGEN/EELDE airport"
"ROTTERDAM airport"
"GRAZ airport"
"INNSBRUCK airport"
"KLAGENFURT airport"
"LINZ airport"
"SALZBURG airport"
"WIEN-SCHWECHAT airport"
"BYDGOSZCZ/SZWEDEROWO airport"
"GDANSK IM LECHA WALESY airport"
"KRAKOW/BALICE airport"
"KATOWICE/PYRZOWICE airport"
"LUBLIN airport"
"LODZ/LUBLINEK airport"
"WARSZAWA/MODLIN airport"
"POZNAN/LAWICA airport"
"RZESZOW/JASIONKA airport"
"SZCZECIN/GOLENIOW airport"
"WARSZAWIA/CHOPINA airport"
"WROCLAW/STRACHOWICE airport"
"SANTA MARIA airport"
"BRAGANCA airport"
"BEJA airport"
"CORVO airport"
"CASCAIS airport"
"FLORES airport"
"FARO airport"
